transactionid,transactiontype,transactionpay,transactionvalue,transactiondate,stationid,approvalnumber,bankcardid,cardid,sellerid
81,Venta,Efectivo,5000,2017/06/01,4,,,38,3
82,Venta,Efectivo,5000,2017/06/14,5,,,15,12
83,Recarga,Efectivo,9000,2017/08/19,4,,,1,2
84,Venta,Efectivo,5000,2017/06/16,2,,,31,16
85,Recarga,Efectivo,25000,2017/08/09,5,,,32,2
86,Uso,,2000,2017/08/19,3,,,35,
87,Venta,Efectivo,5000,2017/07/04,3,,,13,11
88,Venta,Tarjeta,5000,2017/08/18,2,634396,1,35,5
89,Venta,Tarjeta,5000,2017/06/02,1,450378,1,21,3
90,Recarga,Efectivo,47000,2017/08/05,3,,,23,18
91,Uso,,2000,2017/06/08,4,,,22,
92,Uso,,2000,2017/06/22,3,,,2,
93,Uso,,2000,2017/06/02,2,,,39,
94,Uso,,2000,2017/06/05,2,,,40,
95,Uso,,2000,2017/08/23,4,,,24,
96,Recarga,Efectivo,19000,2017/08/06,1,,,28,16
97,Venta,Tarjeta,5000,2017/08/18,1,259378,2,29,19
98,Recarga,Tarjeta,47000,2017/07/19,3,844058,2,23,7
99,Uso,,2000,2017/06/15,4,,,1,
100,Uso,,2000,2017/07/08,4,,,13,
101,Uso,,2000,2017/08/14,4,,,16,
102,Venta,Tarjeta,5000,2017/08/05,1,727637,3,25,5
103,Uso,,2000,2017/08/14,3,,,32,
104,Recarga,Efectivo,36000,2017/07/05,2,,,36,18
105,Venta,Efectivo,5000,2017/07/15,5,,,18,8
106,Uso,,2000,2017/07/01,4,,,39,
107,Recarga,Tarjeta,16000,2017/08/21,4,732264,1,35,13
108,Uso,,2000,2017/08/03,1,,,35,
109,Uso,,2000,2017/06/27,4,,,5,
110,Recarga,Tarjeta,8000,2017/06/11,4,103753,3,33,11
111,Venta,Tarjeta,5000,2017/06/26,2,975799,3,6,4
112,Venta,Tarjeta,5000,2017/08/08,4,184936,2,23,13
113,Venta,Tarjeta,5000,2017/08/08,5,473132,3,14,13
114,Recarga,Tarjeta,20000,2017/07/27,5,748700,3,32,6
115,Venta,Tarjeta,5000,2017/08/01,3,485698,2,15,11
116,Recarga,Efectivo,44000,2017/07/04,2,,,4,20
117,Recarga,Efectivo,43000,2017/06/06,5,,,2,6
118,Venta,Tarjeta,5000,2017/08/11,1,734040,1,39,1
119,Venta,Efectivo,5000,2017/06/06,1,,,19,9
120,Venta,Tarjeta,5000,2017/07/15,5,325985,1,26,8
121,Uso,,2000,2017/07/25,1,,,13,
122,Recarga,Efectivo,11000,2017/07/10,4,,,40,6
123,Venta,Efectivo,5000,2017/08/21,5,,,8,15
124,Uso,,2000,2017/06/26,4,,,18,
125,Venta,Tarjeta,5000,2017/07/27,1,117878,2,27,5
126,Recarga,Tarjeta,42000,2017/08/17,1,564077,2,12,10
127,Uso,,2000,2017/08/05,3,,,8,
128,Uso,,2000,2017/08/20,4,,,31,
129,Venta,Efectivo,5000,2017/07/16,4,,,2,5
130,Venta,Tarjeta,5000,2017/08/11,2,121003,3,28,2
131,Venta,Tarjeta,5000,2017/08/02,5,261542,3,37,18
132,Venta,Tarjeta,5000,2017/06/08,3,211477,1,3,8
133,Uso,,2000,2017/07/06,3,,,3,
134,Venta,Tarjeta,5000,2017/06/14,3,455379,4,8,12
135,Venta,Tarjeta,5000,2017/08/26,5,928362,1,37,11
136,Venta,Tarjeta,5000,2017/07/20,3,117988,1,6,20
137,Venta,Efectivo,5000,2017/07/21,3,,,24,8
138,Venta,Efectivo,5000,2017/07/31,2,,,12,17
139,Uso,,2000,2017/06/02,3,,,36,
140,Venta,Tarjeta,5000,2017/08/08,4,387153,4,30,9
141,Venta,Tarjeta,5000,2017/08/24,1,136285,2,35,18
142,Venta,Efectivo,5000,2017/06/07,2,,,4,17
143,Venta,Efectivo,5000,2017/07/31,4,,,13,20
144,Recarga,Efectivo,20000,2017/08/29,5,,,14,5
145,Venta,Efectivo,5000,2017/07/09,1,,,30,16
146,Recarga,Tarjeta,8000,2017/08/24,4,351539,3,38,4
147,Uso,,2000,2017/06/21,5,,,10,
148,Recarga,Efectivo,39000,2017/08/10,2,,,17,19
149,Uso,,2000,2017/06/11,3,,,33,
150,Recarga,Tarjeta,14000,2017/06/27,3,977214,3,28,13
151,Venta,Tarjeta,5000,2017/06/06,3,282195,3,7,9
152,Recarga,Tarjeta,31000,2017/08/01,2,617430,4,35,9
153,Recarga,Efectivo,8000,2017/06/08,3,,,30,2
154,Venta,Efectivo,5000,2017/08/01,3,,,27,18
155,Venta,Tarjeta,5000,2017/07/06,2,103237,2,28,17
156,Recarga,Tarjeta,13000,2017/07/15,3,918529,4,32,16
157,Recarga,Tarjeta,40000,2017/06/23,3,156681,3,12,9
158,Venta,Tarjeta,5000,2017/08/01,5,101075,4,19,4
159,Recarga,Tarjeta,40000,2017/06/11,3,505734,4,28,9
160,Uso,,2000,2017/07/17,3,,,21,
161,Venta,Tarjeta,5000,2017/08/16,3,554334,1,21,15
162,Venta,Efectivo,5000,2017/06/26,3,,,11,16
163,Recarga,Efectivo,19000,2017/07/26,3,,,35,9
164,Venta,Tarjeta,5000,2017/07/30,5,140083,2,32,15
